0.001000, 4999999.983061, 4999999.997210, 5000000.002360, -0.000873, 0.000174, -0.000262, -0.872710, 0.174282, 0.261961, 1.000000, 0.000131, -0.000087, 0.000436, 1.000000, -0.000131, 0.000087, -0.000436
0.002000, 4999999.966124, 4999999.994413, 5000000.004731, -0.001745, 0.000349, -0.000524, -0.872710, 0.174282, 0.261961, 1.000000, 0.000262, -0.000175, 0.000873, 1.000000, -0.000262, 0.000175, -0.000873
0.003000, 4999999.949189, 4999999.991611, 5000000.007114, -0.002618, 0.000523, -0.000786, -0.872710, 0.174282, 0.261961, 0.999999, 0.000393, -0.000262, 0.001309, 0.999999, -0.000393, 0.000262, -0.001309
0.004000, 4999999.932258, 4999999.988802, 5000000.009507, -0.003491, 0.000696, -0.001048, -0.872710, 0.174282, 0.261961, 0.999998, 0.000524, -0.000349, 0.001745, 0.999998, -0.000524, 0.000349, -0.001745
0.005000, 4999999.915328, 4999999.985988, 5000000.011911, -0.004364, 0.000870, -0.001311, -0.872710, 0.174282, 0.261961, 0.999997, 0.000654, -0.000436, 0.002182, 0.999997, -0.000654, 0.000436, -0.002182
0.006000, 4999999.898402, 4999999.983167, 5000000.014327, -0.005237, 0.001043, -0.001574, -0.872710, 0.174282, 0.261961, 0.999996, 0.000785, -0.000524, 0.002618, 0.999996, -0.000785, 0.000524, -0.002618
0.007000, 4999999.881478, 4999999.980340, 5000000.016753, -0.006110, 0.001216, -0.001836, -0.872710, 0.174282, 0.261961, 0.999995, 0.000916, -0.000611, 0.003054, 0.999995, -0.000916, 0.000611, -0.003054
0.008000, 4999999.864557, 4999999.977507, 5000000.019191, -0.006983, 0.001389, -0.002099, -0.872710, 0.174282, 0.261961, 0.999993, 0.001047, -0.000698, 0.003491, 0.999993, -0.001047, 0.000698, -0.003491
0.009000, 4999999.847638, 4999999.974668, 5000000.021639, -0.007856, 0.001562, -0.002362, -0.872710, 0.174282, 0.261961, 0.999991, 0.001178, -0.000785, 0.003927, 0.999991, -0.001178, 0.000785, -0.003927
0.010000, 4999999.830722, 4999999.971823, 5000000.024099, -0.008729, 0.001734, -0.002626, -0.872710, 0.174282, 0.261961, 0.999989, 0.001309, -0.000873, 0.004363, 0.999989, -0.001309, 0.000873, -0.004363
0.011000, 4999999.813808, 4999999.968971, 5000000.026570, -0.009602, 0.001906, -0.002889, -0.872710, 0.174282, 0.261961, 0.999987, 0.001440, -0.000960, 0.004800, 0.999987, -0.001440, 0.000960, -0.004800
0.012000, 4999999.796897, 4999999.966114, 5000000.029051, -0.010475, 0.002078, -0.003153, -0.872710, 0.174282, 0.261961, 0.999985, 0.001571, -0.001047, 0.005236, 0.999985, -0.001571, 0.001047, -0.005236
0.013000, 4999999.779989, 4999999.963250, 5000000.031544, -0.011348, 0.002250, -0.003416, -0.872710, 0.174282, 0.261961, 0.999982, 0.001702, -0.001134, 0.005672, 0.999982, -0.001702, 0.001134, -0.005672
0.014000, 4999999.763084, 4999999.960380, 5000000.034047, -0.012222, 0.002421, -0.003680, -0.872710, 0.174282, 0.261961, 0.999979, 0.001833, -0.001222, 0.006109, 0.999979, -0.001833, 0.001222, -0.006109
0.015000, 4999999.746181, 4999999.957504, 5000000.036562, -0.013095, 0.002592, -0.003944, -0.872710, 0.174282, 0.261961, 0.999976, 0.001963, -0.001309, 0.006545, 0.999976, -0.001963, 0.001309, -0.006545
0.016000, 4999999.729281, 4999999.954622, 5000000.039088, -0.013968, 0.002763, -0.004208, -0.872710, 0.174282, 0.261961, 0.999972, 0.002094, -0.001396, 0.006981, 0.999972, -0.002094, 0.001396, -0.006981
0.017000, 4999999.712383, 4999999.951734, 5000000.041624, -0.014842, 0.002934, -0.004472, -0.872710, 0.174282, 0.261961, 0.999969, 0.002225, -0.001484, 0.007418, 0.999969, -0.002225, 0.001484, -0.007418
0.018000, 4999999.695489, 4999999.948839, 5000000.044172, -0.015715, 0.003104, -0.004737, -0.872710, 0.174282, 0.261961, 0.999965, 0.002356, -0.001571, 0.007854, 0.999965, -0.002356, 0.001571, -0.007854
0.019000, 4999999.678597, 4999999.945938, 5000000.046731, -0.016589, 0.003275, -0.005001, -0.872710, 0.174282, 0.261961, 0.999961, 0.002487, -0.001658, 0.008290, 0.999961, -0.002487, 0.001658, -0.008290
0.020000, 4999999.661707, 4999999.943031, 5000000.049300, -0.017462, 0.003445, -0.005266, -0.872710, 0.174282, 0.261961, 0.999957, 0.002618, -0.001745, 0.008727, 0.999957, -0.002618, 0.001745, -0.008727
0.021000, 4999999.644821, 4999999.940118, 5000000.051881, -0.018336, 0.003615, -0.005531, -0.872710, 0.174282, 0.261961, 0.999953, 0.002749, -0.001833, 0.009163, 0.999953, -0.002749, 0.001833, -0.009163
0.022000, 4999999.627937, 4999999.937199, 5000000.054472, -0.019210, 0.003784, -0.005796, -0.872710, 0.174282, 0.261961, 0.999948, 0.002880, -0.001920, 0.009599, 0.999948, -0.002880, 0.001920, -0.009599
0.023000, 4999999.611056, 4999999.934274, 5000000.057075, -0.020083, 0.003954, -0.006061, -0.872710, 0.174282, 0.261961, 0.999943, 0.003011, -0.002007, 0.010035, 0.999943, -0.003011, 0.002007, -0.010035
0.024000, 4999999.594178, 4999999.931342, 5000000.059688, -0.020957, 0.004123, -0.006327, -0.872710, 0.174282, 0.261961, 0.999938, 0.003142, -0.002094, 0.010472, 0.999938, -0.003142, 0.002094, -0.010472
0.025000, 4999999.577302, 4999999.928404, 5000000.062313, -0.021831, 0.004292, -0.006592, -0.872710, 0.174282, 0.261961, 0.999933, 0.003272, -0.002182, 0.010908, 0.999933, -0.003272, 0.002182, -0.010908
0.026000, 4999999.560430, 4999999.925460, 5000000.064948, -0.022705, 0.004460, -0.006858, -0.872710, 0.174282, 0.261961, 0.999927, 0.003403, -0.002269, 0.011344, 0.999927, -0.003403, 0.002269, -0.011344
0.027000, 4999999.543560, 4999999.922510, 5000000.067594, -0.023579, 0.004629, -0.007123, -0.872710, 0.174282, 0.261961, 0.999922, 0.003534, -0.002356, 0.011781, 0.999922, -0.003534, 0.002356, -0.011781
